Unnamed: 0,Inducer,Concurrent,Comparison,Prediction,comparitor,ImputedPrediction
34,Affect SC,Amp,Affect SC-Amp,0.878802528,Amp,0.878802528
35,Affect SC,Brightness,Affect SC-Brightness,0.080732118,Brightness,0.080732118
36,Affect SC,Color RB,Affect SC-Color RB,0.295404095,Color RB,0.295404095
37,Affect SC,Color RG,Affect SC-Color RG,,Color RG,0.520593875909
38,Affect SC,Color RY,Affect SC-Color RY,0.874304301,Color RY,0.874304301
39,Affect SC,Color YB,Affect SC-Color YB,0.1722857,Color YB,0.1722857
40,Affect SC,Noise,Affect SC-Noise,0.506314723,Noise,0.506314723
41,Affect SC,Pitch,Affect SC-Pitch,0.397816206,Pitch,0.397816206
42,Affect SC,Shape,Affect SC-Shape,0.573490593,Shape,0.573490593
43,Affect SC,Size,Affect SC-Size,0.464700637,Size,0.464700637
44,Affect SC,Speed,Affect SC-Speed,0.238827265,Speed,0.238827265
49,Amp,Brightness,Amp-Brightness,0.030004558,Amp,0.030004558
50,Amp,Color RB,Amp-Color RB,0.270022836,Amp,0.270022836
51,Amp,Color RG,Amp-Color RG,0.003856054,Amp,0.003856054
52,Amp,Color RY,Amp-Color RY,0.778858077,Amp,0.778858077
53,Amp,Color YB,Amp-Color YB,0.271650674,Amp,0.271650674
54,Amp,Noise,Amp-Noise,0.726157499,Amp,0.726157499
55,Amp,Pitch,Amp-Pitch,0.678939481,Amp,0.678939481
56,Amp,Shape,Amp-Shape,,Amp,0.520593875909
57,Amp,Size,Amp-Size,0.549631722,Amp,0.549631722
58,Amp,Speed,Amp-Speed,0.97041089,Amp,0.97041089
64,Brightness,Color RB,Brightness-Color RB,0.185532541,Brightness,0.185532541
65,Brightness,Color RG,Brightness-Color RG,0.444400339,Brightness,0.444400339
66,Brightness,Color RY,Brightness-Color RY,0.325894044,Brightness,0.325894044
67,Brightness,Color YB,Brightness-Color YB,0.322727324,Brightness,0.322727324
68,Brightness,Noise,Brightness-Noise,0.183478182,Brightness,0.183478182
69,Brightness,Pitch,Brightness-Pitch,0.605372623,Brightness,0.605372623
70,Brightness,Shape,Brightness-Shape,0.177038431,Brightness,0.177038431
71,Brightness,Size,Brightness-Size,0.816017889,Brightness,0.816017889
72,Brightness,Speed,Brightness-Speed,0.852484079,Brightness,0.852484079
79,Color RB,Noise,Color RB-Noise,,Color RB,0.520593875909
80,Color RB,Pitch,Color RB-Pitch,0.404325629,Color RB,0.404325629
81,Color RB,Shape,Color RB-Shape,0.410183591,Color RB,0.410183591
82,Color RB,Size,Color RB-Size,,Color RB,0.520593875909
83,Color RB,Speed,Color RB-Speed,0.952403012,Color RB,0.952403012
90,Color RG,Noise,Color RG-Noise,,Color RG,0.520593875909
91,Color RG,Pitch,Color RG-Pitch,0.183054047,Color RG,0.183054047
92,Color RG,Shape,Color RG-Shape,0.62107845,Color RG,0.62107845
93,Color RG,Size,Color RG-Size,,Color RG,0.520593875909
94,Color RG,Speed,Color RG-Speed,0.312795856,Color RG,0.312795856
101,Color RY,Noise,Color RY-Noise,0.497109237,Color RY,0.497109237
102,Color RY,Pitch,Color RY-Pitch,0.950757018,Color RY,0.950757018
103,Color RY,Shape,Color RY-Shape,0.802013226,Color RY,0.802013226
104,Color RY,Size,Color RY-Size,0.743833402,Color RY,0.743833402
105,Color RY,Speed,Color RY-Speed,0.61801057,Color RY,0.61801057
112,Color YB,Noise,Color YB-Noise,0.294509736,Color YB,0.294509736
113,Color YB,Pitch,Color YB-Pitch,0.846182588,Color YB,0.846182588
114,Color YB,Shape,Color YB-Shape,,Color YB,0.520593875909
115,Color YB,Size,Color YB-Size,0.580536309,Color YB,0.580536309
116,Color YB,Speed,Color YB-Speed,,Color YB,0.520593875909
127,Noise,Pitch,Noise-Pitch,0.722123181,Noise,0.722123181
128,Noise,Shape,Noise-Shape,,Noise,0.520593875909
129,Noise,Size,Noise-Size,0.812247461,Noise,0.812247461
130,Noise,Speed,Noise-Speed,0.17533961,Noise,0.17533961
142,Pitch,Shape,Pitch-Shape,0.72585362,Pitch,0.72585362
143,Pitch,Size,Pitch-Size,0.899407896,Pitch,0.899407896
144,Pitch,Speed,Pitch-Speed,0.962060436,Pitch,0.962060436
157,Shape,Size,Shape-Size,0.644064267,Shape,0.644064267
158,Shape,Speed,Shape-Speed,0.797409597,Shape,0.797409597
172,Size,Speed,Size-Speed,0.128178099,Size,0.128178099
