Unnamed: 0,DataSet,Subject,Condition,TrialNum,Inducer,Concurrent,Comparison,ResponseSimulated
9592,Simulated,Amp-Size-Speed-11,Amp Size Speed,24,Size,Noise,Noise-Size,0
9593,Simulated,Amp-Size-Speed-11,Amp Size Speed,25,Amp,Shape,Amp-Shape,1
9594,Simulated,Amp-Size-Speed-11,Amp Size Speed,26,Color RY,Size,Color RY-Size,1
9595,Simulated,Amp-Size-Speed-11,Amp Size Speed,27,Speed,Noise,Noise-Speed,1
9596,Simulated,Amp-Size-Speed-11,Amp Size Speed,28,Noise,Size,Noise-Size,0
9597,Simulated,Amp-Size-Speed-11,Amp Size Speed,29,Size,Color RY,Color RY-Size,1
9598,Simulated,Amp-Size-Speed-11,Amp Size Speed,30,Shape,Size,Shape-Size,0
9599,Simulated,Amp-Size-Speed-11,Amp Size Speed,31,Shape,Amp,Amp-Shape,1
9600,Simulated,Amp-Size-Speed-11,Amp Size Speed,32,Shape,Speed,Shape-Speed,1
9601,Simulated,Amp-Size-Speed-11,Amp Size Speed,33,Shape,Size,Shape-Size,0
9602,Simulated,Amp-Size-Speed-11,Amp Size Speed,34,Color RY,Size,Color RY-Size,1
9603,Simulated,Amp-Size-Speed-11,Amp Size Speed,35,Noise,Speed,Noise-Speed,1
9604,Simulated,Amp-Size-Speed-11,Amp Size Speed,36,Amp,Brightness,Amp-Brightness,1
9605,Simulated,Amp-Size-Speed-11,Amp Size Speed,37,Amp,Pitch,Amp-Pitch,0
9606,Simulated,Amp-Size-Speed-11,Amp Size Speed,38,Amp,Color RY,Amp-Color RY,1
9607,Simulated,Amp-Size-Speed-11,Amp Size Speed,39,Affect PD,Size,Affect PD-Size,0
9608,Simulated,Amp-Size-Speed-11,Amp Size Speed,40,Size,Amp,Amp-Size,1
9609,Simulated,Amp-Size-Speed-11,Amp Size Speed,41,Speed,Pitch,Pitch-Speed,1
9610,Simulated,Amp-Size-Speed-11,Amp Size Speed,42,Speed,Size,Size-Speed,0
9611,Simulated,Amp-Size-Speed-11,Amp Size Speed,43,Affect PD,Speed,Affect PD-Speed,1
9612,Simulated,Amp-Size-Speed-11,Amp Size Speed,44,Pitch,Size,Pitch-Size,0
9613,Simulated,Amp-Size-Speed-11,Amp Size Speed,45,Amp,Affect PD,Affect PD-Amp,0
9614,Simulated,Amp-Size-Speed-11,Amp Size Speed,46,Brightness,Speed,Brightness-Speed,1
9615,Simulated,Amp-Size-Speed-11,Amp Size Speed,47,Amp,Affect PD,Affect PD-Amp,0
9616,Simulated,Amp-Size-Speed-11,Amp Size Speed,48,Noise,Speed,Noise-Speed,1
9617,Simulated,Amp-Size-Speed-11,Amp Size Speed,49,Speed,Brightness,Brightness-Speed,1
9618,Simulated,Amp-Size-Speed-11,Amp Size Speed,50,Pitch,Size,Pitch-Size,0
9619,Simulated,Amp-Size-Speed-11,Amp Size Speed,51,Amp,Brightness,Amp-Brightness,1
9620,Simulated,Amp-Size-Speed-11,Amp Size Speed,52,Amp,Color RY,Amp-Color RY,1
9621,Simulated,Amp-Size-Speed-11,Amp Size Speed,53,Size,Brightness,Brightness-Size,0
9622,Simulated,Amp-Size-Speed-11,Amp Size Speed,54,Size,Speed,Size-Speed,0
9623,Simulated,Amp-Size-Speed-11,Amp Size Speed,55,Speed,Affect PD,Affect PD-Speed,1
9624,Simulated,Amp-Size-Speed-11,Amp Size Speed,56,Speed,Size,Size-Speed,0
9625,Simulated,Amp-Size-Speed-11,Amp Size Speed,57,Speed,Shape,Shape-Speed,1
9626,Simulated,Amp-Size-Speed-11,Amp Size Speed,58,Pitch,Speed,Pitch-Speed,1
9627,Simulated,Amp-Size-Speed-11,Amp Size Speed,59,Color RY,Amp,Amp-Color RY,1
9628,Simulated,Amp-Size-Speed-11,Amp Size Speed,60,Speed,Color RY,Color RY-Speed,1
9629,Simulated,Amp-Size-Speed-11,Amp Size Speed,61,Color RY,Speed,Color RY-Speed,1
9630,Simulated,Amp-Size-Speed-11,Amp Size Speed,62,Amp,Size,Amp-Size,1
9631,Simulated,Amp-Size-Speed-11,Amp Size Speed,63,Speed,Brightness,Brightness-Speed,1
9632,Simulated,Amp-Size-Speed-11,Amp Size Speed,64,Speed,Shape,Shape-Speed,1
9633,Simulated,Amp-Size-Speed-11,Amp Size Speed,65,Speed,Affect PD,Affect PD-Speed,1
9634,Simulated,Amp-Size-Speed-11,Amp Size Speed,66,Noise,Amp,Amp-Noise,1
9635,Simulated,Amp-Size-Speed-11,Amp Size Speed,67,Amp,Speed,Amp-Speed,1
9636,Simulated,Amp-Size-Speed-11,Amp Size Speed,68,Amp,Size,Amp-Size,1
9637,Simulated,Amp-Size-Speed-11,Amp Size Speed,69,Color RY,Speed,Color RY-Speed,1
9638,Simulated,Amp-Size-Speed-11,Amp Size Speed,70,Speed,Size,Size-Speed,0
9639,Simulated,Amp-Size-Speed-11,Amp Size Speed,71,Amp,Speed,Amp-Speed,1
9640,Simulated,Amp-Size-Speed-11,Amp Size Speed,72,Pitch,Speed,Pitch-Speed,1
9641,Simulated,Amp-Size-Speed-11,Amp Size Speed,73,Size,Amp,Amp-Size,1
9642,Simulated,Amp-Size-Speed-11,Amp Size Speed,74,Size,Speed,Size-Speed,0
9643,Simulated,Amp-Size-Speed-11,Amp Size Speed,75,Amp,Noise,Amp-Noise,1
9644,Simulated,Amp-Size-Speed-11,Amp Size Speed,76,Size,Shape,Shape-Size,0
9645,Simulated,Amp-Size-Speed-11,Amp Size Speed,77,Affect PD,Speed,Affect PD-Speed,1
9646,Simulated,Amp-Size-Speed-11,Amp Size Speed,78,Brightness,Amp,Amp-Brightness,1
9647,Simulated,Amp-Size-Speed-11,Amp Size Speed,79,Speed,Size,Size-Speed,0
9648,Simulated,Amp-Size-Speed-11,Amp Size Speed,80,Size,Amp,Amp-Size,1
9649,Simulated,Amp-Size-Speed-11,Amp Size Speed,81,Amp,Pitch,Amp-Pitch,0
9650,Simulated,Amp-Size-Speed-11,Amp Size Speed,82,Amp,Shape,Amp-Shape,1
9651,Simulated,Amp-Size-Speed-11,Amp Size Speed,83,Shape,Amp,Amp-Shape,1
